순번,노선번호,노선아이디,구분,방면,거리(km),운행횟수,운행개시일,운수회사,데이터기준일자
1,1,381000130,동부순환,"평촌(동촌, 발산)",31.984,14,2020-07-29,부산교통 부일교통 삼성교통 시민버스,2022-07-25
2,2,381000230,동부순환,남산(수목원),26.619,8,2020-07-29,부산교통 부일교통 삼성교통 시민버스,2022-07-25
3,2-1,381000231,동부순환,남산(수목원),23.961,7,2020-07-29,부산교통 부일교통 삼성교통 시민버스,2022-07-25
4,3,381000330,동부순환,지수면사무소(무등),36.267,8,2020-07-29,부산교통 부일교통 삼성교통 시민버스,2022-07-25
5,3-1,381000331,동부순환,지수면사무소(무등),36.328,8,2020-07-29,부산교통 부일교통 삼성교통 시민버스,2022-07-25
6,4,381000430,동부순환,안계,48.993,5,2020-07-29,부산교통 부일교통 삼성교통 시민버스,2022-07-25
7,5,381000530,동부순환,"부계(부동,저동)",29.078,5,2020-07-29,부산교통 부일교통 삼성교통 시민버스,2022-07-25
8,6,381000630,동부순환,하촌(구천),28.519,6,2020-07-29,부산교통 부일교통 삼성교통 시민버스,2022-07-25
9,10,381001010,기점,석교(금산),26.608,8,2020-02-21,삼성교통,2022-07-25
10,10,381001020,종점,공영차고지,26.195,8,2020-02-21,삼성교통,2022-07-25
11,20,381002010,기점,명신고,8.427,10,2020-02-21,삼성교통,2022-07-25
12,20,381002020,종점,진주봉원중,9.08,10,2020-02-21,삼성교통,2022-07-25
13,100,381010020,기점,공영차고지,4.423,35,2017-04-25,삼성교통,2022-07-25
14,100,381010010,종점,진주역,4.456,35,2017-04-25,삼성교통,2022-07-25
15,110,381011010,기점,예하,7.743,30,2017-04-25,삼성교통,2022-07-25
16,110,381011020,종점,공영차고지,8.891,30,2017-04-25,삼성교통,2022-07-25
17,111,381011120,기점,공영차고지,8.891,37,2017-06-12,삼성교통,2022-07-25
18,111,381011110,종점,예하,7.743,37,2017-06-12,삼성교통,2022-07-25
19,112,381011230,순환,정촌산단,8.833,17,2017-06-12,시민버스,2022-07-25
20,120,381012020,기점,공영차고지(경상대),16.448,96,2014-11-14,삼성교통 시민버스 부산교통,2022-07-25
21,120,381012010,종점,진양호공원,17.488,96,2014-11-14,삼성교통 시민버스 부산교통,2022-07-25
22,121,381012120,기점,진양호차고지,23.419,5,2017-05-31,부일교통,2022-07-25
