순번,정류소아이디,정류소명,경도,위도,데이터기준일자
1,41013,10호광장/GS마켓,128.0608107,35.17222494,2022-07-25
2,41010,10호광장/들말한보아파트,128.0607303,35.17363619,2022-07-25
3,41009,10호광장/한보하이타운아파트,128.0594861,35.17249791,2022-07-25
4,42022,KBS,128.070659,35.18641268,2022-07-25
5,42021,KBS,128.0702461,35.18548123,2022-07-25
6,35033,KT동진주지점,128.1171298,35.18307947,2022-07-25
7,35032,KT동진주지점,128.1174716,35.18199025,2022-07-25
8,49007,LH10단지,128.1441576,35.16896294,2022-07-25
9,49008,LH10단지,128.1438407,35.16886904,2022-07-25
10,49022,LH3/LH5단지,128.1530175,35.17921453,2022-07-25
11,49021,LH3/LH5단지,128.1528514,35.17950228,2022-07-25
12,11060,LH3단지,128.1536625,35.1811642,2022-07-25
13,11073,LH3단지,128.153537,35.18102344,2022-07-25
14,49045,LH8/LH9단지,128.1461273,35.17048554,2022-07-25
15,49046,LH8/LH9단지,128.1462659,35.1703941,2022-07-25
16,49039,LH9/LH10단지,128.1438226,35.17090059,2022-07-25
17,49040,LH9/LH10단지,128.1440966,35.17057159,2022-07-25
18,49013,LH본사/코오롱하늘채,128.1483227,35.17810773,2022-07-25
19,49014,LH본사/코오롱하늘채,128.1481819,35.17804598,2022-07-25
20,47018,MBC,128.1085741,35.16319879,2022-07-25
21,48008,MBC,128.1085925,35.16334508,2022-07-25
22,6048,가곡,128.2956457,35.18393739,2022-07-25
23,6061,가곡,128.2957829,35.18393367,2022-07-25
24,37002,가람초등학교/대림아파트,128.1015221,35.17497779,2022-07-25
25,37001,가람초등학교/대림아파트,128.1015065,35.17484048,2022-07-25
26,12078,가매실,128.0988022,35.25115522,2022-07-25
27,12077,가매실,128.0988874,35.2511567,2022-07-25
28,4056,가봉,128.2107096,35.12383267,2022-07-25
29,4057,가봉,128.2134571,35.12453749,2022-07-25
30,4025,가봉사거리,128.2171197,35.12517899,2022-07-25
31,4024,가봉사거리,128.2171403,35.12527117,2022-07-25
32,1101,가수동,128.2188659,35.12017031,2022-07-25
33,4076,가수동,128.2186329,35.11999239,2022-07-25
34,10049,가정,128.1848591,35.25071944,2022-07-25
35,10048,가정,128.1848371,35.25089992,2022-07-25
36,5029,가좌,128.209408,35.21266106,2022-07-25
37,47043,가좌삼거리,128.1038172,35.15000173,2022-07-25
38,47027,가좌이주단지,128.1013914,35.14453071,2022-07-25
39,47028,가좌이주단지,128.1014794,35.1455619,2022-07-25
40,47039,가좌주공3단지,128.1088146,35.15564593,2022-07-25
41,47040,가좌주공3단지,128.108852,35.15577402,2022-07-25
42,47002,가좌주공그린빌,128.1006046,35.14965952,2022-07-25
43,47003,가좌주공그린빌,128.1011179,35.15029028,2022-07-25
44,47014,가좌주공아파트,128.1066173,35.16134423,2022-07-25
45,47013,가좌주공아파트,128.1066481,35.16199514,2022-07-25
46,47019,가좌주공아파트후문,128.1116143,35.16178968,2022-07-25
47,48015,가좌주공아파트후문,128.1119455,35.16152527,2022-07-25
48,2043,가호,128.0135271,35.12588998,2022-07-25
49,2044,가호,128.0134742,35.12582733,2022-07-25
50,2080,가호1,128.0103856,35.12912039,2022-07-25
51,2081,가호1,128.0103084,35.12909174,2022-07-25
52,2046,가호경로당,128.0119863,35.12726609,2022-07-25
53,2045,가호경로당,128.0118712,35.12727156,2022-07-25
54,2042,가호입구,128.0154259,35.12485109,2022-07-25
55,2041,가호입구,128.0160713,35.12514762,2022-07-25
56,14091,가화,128.0158322,35.20431851,2022-07-25
57,14092,가화,128.0160921,35.20425099,2022-07-25
58,14075,가화삼거리,127.9969274,35.2168258,2022-07-25
59,14074,가화삼거리,127.9969831,35.21689068,2022-07-25
60,14093,가화회관,128.000715,35.21536598,2022-07-25
61,14094,가화회관,128.000692,35.21528505,2022-07-25
62,44024,각한,128.0549992,35.20587181,2022-07-25
63,43004,각한,128.0552207,35.20603162,2022-07-25
64,1050,갈곡,128.206902,35.14736291,2022-07-25
65,1051,갈곡,128.2071106,35.14736984,2022-07-25
66,18016,갈릴리교회,128.0853695,35.17767205,2022-07-25
67,18017,갈릴리교회,128.0854937,35.17772727,2022-07-25
68,11016,갈전,128.1623652,35.18810431,2022-07-25
69,11015,갈전,128.1624855,35.18807161,2022-07-25
70,1014,갈촌삼거리,128.1940787,35.16850588,2022-07-25
71,1013,갈촌삼거리,128.1936605,35.16823961,2022-07-25
72,42012,갑을가든,128.0744445,35.18332825,2022-07-25
73,42045,갑을가든,128.0741058,35.18303833,2022-07-25
74,15031,갓골,127.9956773,35.19517092,2022-07-25
75,15032,갓골,127.9957605,35.1952446,2022-07-25
76,10073,강골,128.2153261,35.21792612,2022-07-25
77,10096,강골,128.2152535,35.21784123,2022-07-25
78,3083,강남,128.0931652,35.11462319,2022-07-25
79,3082,강남,128.0935212,35.11479348,2022-07-25
80,34015,강동한의원,128.0757882,35.19823285,2022-07-25
81,34014,강동한의원,128.0757619,35.19769456,2022-07-25
82,3135,강서,128.0920826,35.11520056,2022-07-25
83,3009,강서,128.0924222,35.11545458,2022-07-25
84,3017,강주교회,128.0985876,35.11244932,2022-07-25
85,3018,강주교회,128.0986157,35.11249864,2022-07-25
86,13063,개심,128.1047616,35.29072603,2022-07-25
87,13077,개심,128.1047418,35.29088394,2022-07-25
88,13012,개심회관,128.1066035,35.28895169,2022-07-25
89,13011,개심회관,128.106425,35.28896234,2022-07-25
90,6011,개암,128.2933276,35.16736736,2022-07-25
91,6012,개암,128.2930884,35.16733387,2022-07-25
92,47047,개양,128.1065704,35.15970898,2022-07-25
93,47045,개양,128.1075701,35.1596972,2022-07-25
94,48601,개양군부대,128.1256725,35.16389509,2022-07-25
